developer_id,top_companies_faang,top_company_tier_1,top_company_tier_1_names,top_company_tier_1_2yoe,top_company_tier_2,top_company_tier_2_names,top_company_tier_2_2yoe,top_university_us,top_university_us_names,top_university_whole_list,top_university_whole_list_names
6607944,0,0,,0,0,,0,0,,0,
6603398,0,0,,0,0,,0,0,,0,
6603914,0,0,,0,0,,0,0,,0,
2962677,0,0,,0,0,,0,0,,0,
3900718,0,0,,0,0,,0,0,,0,
3737107,0,0,,0,0,,0,0,,0,
6591798,0,1,IBM,0,0,,0,0,,0,
6505267,0,0,,0,0,,0,0,,0,
2029329,0,0,,0,0,,0,0,,0,
4706362,0,0,,0,0,,0,0,,0,
5080514,0,0,,0,0,,0,0,,0,
1818984,0,0,,0,0,,0,0,,0,
5867091,0,0,,0,0,,0,0,,0,
6589789,0,0,,0,0,,0,0,,0,
6585721,0,0,,0,0,,0,0,,0,
6585568,0,0,,0,0,,0,0,,0,
2667702,0,0,,0,0,,0,0,,0,
6584410,0,0,,0,0,,0,0,,0,
1272302,0,0,,0,0,,0,0,,0,
4188154,0,0,,0,0,,0,0,,0,
4336481,0,1,Huawei,0,0,,0,0,,0,
3092576,0,0,,0,0,,0,0,,0,
5202323,0,0,,0,0,,0,0,,0,
5989297,0,0,,0,0,,0,0,,0,
4371825,0,0,,0,0,,0,0,,0,
5436421,0,0,,0,0,,0,0,,0,
4494711,0,0,,0,0,,0,0,,0,
6588036,0,0,,0,0,,0,0,,0,
1907024,0,0,,0,0,,0,0,,0,
2451166,0,0,,0,0,,0,0,,0,
6521631,0,0,,0,0,,0,0,,0,
2892307,0,0,,0,0,,0,0,,1,KTH (Sweden)
48718,0,0,,0,0,,0,0,,0,
1054803,0,0,,0,0,,0,0,,0,
2470977,0,0,,0,0,,0,0,,0,
2207965,0,0,,0,0,,0,0,,0,
1251738,0,0,,0,0,,0,0,,0,
6212382,0,0,,0,0,,0,0,,0,
4374280,0,0,,0,0,,0,0,,0,
5989210,0,1,Uber;Alibaba,1,0,,0,0,,0,
4386337,0,0,,0,0,,0,0,,0,
5027457,0,0,,0,0,,0,0,,0,
211603,0,0,,0,0,,0,0,,0,
3606890,0,0,,0,0,,0,0,,0,
4682139,0,0,,0,0,,0,0,,0,
2943636,0,0,,0,0,,0,0,,0,
5537234,0,0,,0,0,,0,0,,0,
1410922,0,0,,0,0,,0,0,,0,
3730454,0,0,,0,0,,0,0,,0,
1505517,0,0,,0,0,,0,0,,0,
1780924,0,0,,0,0,,0,0,,0,
2669634,0,0,,0,0,,0,0,,0,
5987087,0,0,,0,0,,0,0,,0,
1470797,0,0,,0,0,,0,0,,0,
1725234,0,0,,0,0,,0,0,,0,
6594866,1,1,Amazon;Stripe,1,0,,0,0,,0,
4762398,0,0,,0,0,,0,0,,0,
3906670,0,0,,0,0,,0,0,,0,
5471574,0,0,,0,0,,0,0,,0,
3627882,0,0,,0,0,,0,0,,0,
5118373,0,0,,0,0,,0,0,,0,
1361347,0,0,,0,0,,0,0,,0,
5885950,0,0,,0,0,,0,0,,0,
4577151,0,0,,0,0,,0,0,,0,
6488701,0,0,,0,0,,0,0,,0,
3824870,0,0,,0,0,,0,0,,0,
6316876,0,0,,0,0,,0,0,,0,
6583176,0,0,,0,0,,0,0,,0,
4155083,0,0,,0,0,,0,0,,0,
2894454,0,0,,0,0,,0,0,,0,
6583326,0,0,,0,0,,0,0,,0,
1080687,0,1,IBM,0,0,,0,0,,0,
3315641,0,0,,0,0,,0,0,,0,
6584962,0,0,,0,0,,0,0,,0,
6582450,0,0,,0,0,,0,0,,0,
3123091,0,1,GitLab,0,0,,0,0,,0,
4607346,0,0,,0,0,,0,0,,0,
2886642,0,0,,0,0,,0,0,,0,
4875529,0,0,,0,0,,0,0,,0,
5506091,0,0,,0,0,,0,0,,0,
6167628,0,0,,0,0,,0,0,,0,
5536308,0,0,,0,0,,0,0,,0,
3618754,0,0,,0,0,,0,0,,0,
6587557,0,0,,0,0,,0,0,,0,
3024621,0,0,,0,0,,0,0,,0,
1873090,0,0,,0,0,,0,0,,0,
1939276,0,0,,0,0,,0,0,,0,
3814410,0,0,,0,0,,0,0,,0,
6612300,0,0,,0,0,,0,0,,0,
3447676,0,0,,0,0,,0,0,,0,
4672603,0,0,,0,0,,0,0,,0,
4375241,0,0,,0,0,,0,0,,0,
5711652,0,0,,0,0,,0,0,,0,
6583364,0,0,,0,0,,0,0,,0,
4774179,0,0,,0,0,,0,0,,0,
2984802,0,0,,0,0,,0,0,,0,
560775,0,0,,0,0,,0,0,,0,
4730738,0,0,,0,0,,0,0,,0,
5843483,0,0,,0,0,,0,0,,0,
4279028,0,0,,0,0,,0,0,,0,
5887506,0,0,,0,0,,0,0,,0,
1114180,0,0,,0,0,,0,0,,0,
119592,0,0,,0,0,,0,0,,0,
6009846,0,0,,0,0,,0,0,,0,
3763813,0,0,,0,0,,0,0,,0,
6584853,0,0,,0,0,,0,0,,0,
219708,0,0,,0,0,,0,0,,0,
3171053,0,0,,0,0,,0,0,,0,
2596902,0,0,,0,0,,0,0,,0,
3360236,0,0,,0,0,,0,0,,0,
5769303,0,0,,0,0,,0,0,,0,
